,Unnamed: 0,filename,width,height,class,xmin,ymin,xmax,ymax
8233,8233,img010312.jpg,1920,1200,1,563,281,1221,678
11219,11219,img014035.jpg,1920,1200,1,874,480,1113,750
7088,7088,img008865.jpg,1920,1200,1,736,250,1204,910
98,98,img000124.jpg,1920,1200,1,675,351,1080,529
2815,2815,img003541.jpg,1920,1200,1,410,267,1495,1280
5934,5934,img007419.jpg,1920,1200,1,860,253,1176,718
4110,4110,img005158.jpg,1920,1200,1,778,425,1374,978
3281,3281,img004121.jpg,1920,1200,1,819,252,1033,434
4468,4468,img005603.jpg,1920,1200,1,691,408,1461,1113
8180,8180,img010248.jpg,1920,1200,1,726,455,1083,818
3907,3907,img004897.jpg,1920,1200,1,808,382,1228,844
2490,2490,img003140.jpg,1920,1200,1,736,227,1084,662
686,686,img000866.jpg,1920,1200,1,591,458,1014,983
8442,8442,img010573.jpg,1920,1200,1,550,285,823,741
1939,1939,img002455.jpg,1920,1200,1,832,370,1112,723
7261,7261,img009100.jpg,1920,1200,1,849,519,1065,818
9901,9901,img012389.jpg,1920,1200,1,1155,591,1267,751
10500,10500,img013140.jpg,1920,1200,1,876,471,1041,664
3453,3453,img004334.jpg,1920,1200,1,738,313,1148,633
4225,4225,img005299.jpg,1920,1200,1,681,585,1382,1075
5023,5023,img006302.jpg,1920,1200,1,811,469,1284,698
7965,7965,img009985.jpg,1920,1200,1,835,557,1015,986
1100,1100,img001385.jpg,1920,1200,1,778,417,1056,739
763,763,img000955.jpg,1920,1200,1,760,401,1027,537
10864,10864,img013613.jpg,1920,1200,1,760,412,1118,679
6252,6252,img007826.jpg,1920,1200,1,886,548,1013,680
11294,11294,img014125.jpg,1920,1200,1,949,531,1024,741
9013,9013,img011281.jpg,1920,1200,1,583,488,1306,959
2445,2445,img003079.jpg,1920,1200,1,485,411,1072,1047
4142,4142,img005199.jpg,1920,1200,1,998,352,1217,450
6514,6514,img008152.jpg,1920,1200,1,673,518,1115,831
7170,7170,img008977.jpg,1920,1200,1,683,468,967,641
826,826,img001034.jpg,1920,1200,1,931,446,1117,664
1941,1941,img002457.jpg,1920,1200,1,735,319,1017,560
7604,7604,img009557.jpg,1920,1200,1,803,387,1189,796
10458,10458,img013088.jpg,1920,1200,1,784,434,1198,707
5888,5888,img007365.jpg,1920,1200,1,816,559,1258,994
8608,8608,img010786.jpg,1920,1200,1,728,391,1137,999
1302,1302,img001656.jpg,1920,1200,1,1003,646,1087,806
9884,9884,img012370.jpg,1920,1200,1,749,458,910,669
10552,10552,img013207.jpg,1920,1200,1,948,573,1256,791
1924,1924,img002436.jpg,1920,1200,1,800,435,1344,901
5965,5965,img007460.jpg,1920,1200,1,761,488,1095,677
29,29,img000037.jpg,1920,1200,1,824,459,1295,1038
3117,3117,img003922.jpg,1920,1200,1,592,499,1029,976
9116,9116,img011420.jpg,1920,1200,1,857,609,1021,826
1527,1527,img001959.jpg,1920,1200,1,661,441,983,766
7165,7165,img008972.jpg,1920,1200,1,753,419,1145,1018
5779,5779,img007231.jpg,1920,1200,1,528,487,1540,1196
8089,8089,img010131.jpg,1920,1200,1,894,329,1044,647
2514,2514,img003168.jpg,1920,1200,1,796,488,991,649
7787,7787,img009765.jpg,1920,1200,1,617,68,1182,1014
7924,7924,img009935.jpg,1920,1200,1,859,429,1103,597
5815,5815,img007276.jpg,1920,1200,1,753,633,984,804
1897,1897,img002403.jpg,1920,1200,1,867,397,1133,532
1787,1787,img002266.jpg,1920,1200,1,612,215,1111,1018
1953,1953,img002473.jpg,1920,1200,1,759,614,1025,878
6285,6285,img007870.jpg,1920,1200,1,780,414,1298,949
2104,2104,img002652.jpg,1920,1200,1,542,-4,1584,1098
2313,2313,img002913.jpg,1920,1200,1,707,262,1079,1069
8264,8264,img010353.jpg,1920,1200,1,885,414,950,553
306,306,img000395.jpg,1920,1200,1,797,512,1114,963
200,200,img000261.jpg,1920,1200,1,792,288,1112,650
3147,3147,img003958.jpg,1920,1200,1,792,426,1214,887
4820,4820,img006055.jpg,1920,1200,1,864,561,1048,776
912,912,img001147.jpg,1920,1200,1,823,419,1234,826
5478,5478,img006853.jpg,1920,1200,1,866,568,1091,754
9968,9968,img012482.jpg,1920,1200,1,692,744,1109,935
10446,10446,img013073.jpg,1920,1200,1,446,219,1385,630
7650,7650,img009609.jpg,1920,1200,1,673,192,1012,740
8141,8141,img010198.jpg,1920,1200,1,724,367,1454,1100
10228,10228,img012801.jpg,1920,1200,1,962,250,1259,472
10909,10909,img013661.jpg,1920,1200,1,624,527,1332,857
2345,2345,img002951.jpg,1920,1200,1,741,172,1351,759
2946,2946,img003700.jpg,1920,1200,1,772,410,1283,1078
8131,8131,img010183.jpg,1920,1200,1,771,556,959,734
2118,2118,img002670.jpg,1920,1200,1,838,656,975,751
569,569,img000718.jpg,1920,1200,1,949,649,1140,880
169,169,img000216.jpg,1920,1200,1,687,438,1014,720
3590,3590,img004494.jpg,1920,1200,1,805,665,1077,925
6596,6596,img008258.jpg,1920,1200,1,626,537,1091,783
420,420,img000544.jpg,1920,1200,1,551,263,1049,742
7215,7215,img009037.jpg,1920,1200,1,605,569,908,754
9053,9053,img011336.jpg,1920,1200,1,757,536,1017,791
1378,1378,img001761.jpg,1920,1200,1,726,234,1679,676
1008,1008,img001272.jpg,1920,1200,1,730,301,1003,683
5822,5822,img007286.jpg,1920,1200,1,823,583,1132,717
2941,2941,img003692.jpg,1920,1200,1,907,491,1093,591
11940,11940,img014928.jpg,1920,1200,1,826,429,1023,600
262,262,img000337.jpg,1920,1200,1,730,63,1092,684
3279,3279,img004119.jpg,1920,1200,1,826,421,1332,835
7106,7106,img008891.jpg,1920,1200,1,657,332,1176,769
634,634,img000805.jpg,1920,1200,1,768,335,1308,755
4661,4661,img005844.jpg,1920,1200,1,769,459,1058,819
6021,6021,img007526.jpg,1920,1200,1,1000,506,1108,616
9450,9450,img011830.jpg,1920,1200,1,654,265,1698,1064
5252,5252,img006579.jpg,1920,1200,1,437,-23,1347,1242
7543,7543,img009480.jpg,1920,1200,1,565,464,1189,787
5068,5068,img006356.jpg,1920,1200,1,823,454,1271,943
1697,1697,img002164.jpg,1920,1200,1,687,449,1054,972
4773,4773,img005995.jpg,1920,1200,1,558,552,1182,788
419,419,img000543.jpg,1920,1200,1,871,579,992,818
4476,4476,img005612.jpg,1920,1200,1,666,565,987,891
1368,1368,img001749.jpg,1920,1200,1,741,567,1348,1093
6681,6681,img008359.jpg,1920,1200,1,925,430,1138,638
3344,3344,img004196.jpg,1920,1200,1,880,382,1279,1272
11094,11094,img013884.jpg,1920,1200,1,788,434,1099,852
1719,1719,img002187.jpg,1920,1200,1,293,626,1220,989
4634,4634,img005814.jpg,1920,1200,1,675,496,1285,1020
3504,3504,img004397.jpg,1920,1200,1,862,268,1135,939
6679,6679,img008357.jpg,1920,1200,1,623,250,1343,887
7216,7216,img009038.jpg,1920,1200,1,925,541,1108,716
1841,1841,img002337.jpg,1920,1200,1,440,210,980,942
5556,5556,img006950.jpg,1920,1200,1,914,473,1262,877
3072,3072,img003861.jpg,1920,1200,1,718,573,1233,958
10004,10004,img012526.jpg,1920,1200,1,590,390,1382,757
6527,6527,img008166.jpg,1920,1200,1,1002,528,1071,655
6637,6637,img008308.jpg,1920,1200,1,628,352,891,913
3240,3240,img004071.jpg,1920,1200,1,925,824,1048,978
2834,2834,img003563.jpg,1920,1200,1,946,573,1126,747
3852,3852,img004833.jpg,1920,1200,1,784,265,1065,765
11173,11173,img013979.jpg,1920,1200,1,860,754,1008,860
6391,6391,img008007.jpg,1920,1200,1,846,450,1426,804
3732,3732,img004677.jpg,1920,1200,1,822,529,957,639
1660,1660,img002123.jpg,1920,1200,1,407,-180,1344,841
8163,8163,img010227.jpg,1920,1200,1,656,356,932,737
6758,6758,img008449.jpg,1920,1200,1,757,543,1064,838
7979,7979,img010001.jpg,1920,1200,1,827,671,966,772
5813,5813,img007274.jpg,1920,1200,1,791,484,1149,724
4258,4258,img005343.jpg,1920,1200,1,833,389,1118,603
10920,10920,img013676.jpg,1920,1200,1,893,290,1057,440
7920,7920,img009931.jpg,1920,1200,1,711,299,1234,806
3530,3530,img004426.jpg,1920,1200,1,890,557,1043,752
8516,8516,img010671.jpg,1920,1200,1,859,422,1164,702
5897,5897,img007377.jpg,1920,1200,1,948,546,1190,761
10761,10761,img013474.jpg,1920,1200,1,813,488,1076,680
4326,4326,img005425.jpg,1920,1200,1,804,688,1138,849
10785,10785,img013512.jpg,1920,1200,1,817,507,1056,728
5455,5455,img006825.jpg,1920,1200,1,574,403,1127,659
5242,5242,img006566.jpg,1920,1200,1,734,548,1105,720
6401,6401,img008017.jpg,1920,1200,1,683,399,1151,720
5033,5033,img006314.jpg,1920,1200,1,887,452,981,631
4872,4872,img006125.jpg,1920,1200,1,581,153,1417,879
9837,9837,img012315.jpg,1920,1200,1,557,364,1374,1095
5104,5104,img006397.jpg,1920,1200,1,668,451,1248,789
7558,7558,img009500.jpg,1920,1200,1,960,363,1287,855
3125,3125,img003932.jpg,1920,1200,1,356,361,1289,786
6760,6760,img008451.jpg,1920,1200,1,881,531,1065,760
751,751,img000942.jpg,1920,1200,1,883,573,1057,810
137,137,img000174.jpg,1920,1200,1,638,606,1235,888
995,995,img001257.jpg,1920,1200,1,656,350,1122,841
7814,7814,img009804.jpg,1920,1200,1,867,404,984,627
11378,11378,img014225.jpg,1920,1200,1,787,385,1241,667
6061,6061,img007574.jpg,1920,1200,1,999,576,1299,836
2210,2210,img002784.jpg,1920,1200,1,803,545,967,902
9052,9052,img011334.jpg,1920,1200,1,614,98,1186,886
1264,1264,img001605.jpg,1920,1200,1,466,100,1146,987
10503,10503,img013143.jpg,1920,1200,1,701,613,905,896
4709,4709,img005912.jpg,1920,1200,1,765,708,944,851
6235,6235,img007806.jpg,1920,1200,1,874,553,1046,740
2448,2448,img003082.jpg,1920,1200,1,832,295,1040,538
5675,5675,img007096.jpg,1920,1200,1,843,446,991,587
6974,6974,img008726.jpg,1920,1200,1,720,79,1369,376
6816,6816,img008519.jpg,1920,1200,1,408,121,1143,951
3814,3814,img004786.jpg,1920,1200,1,827,308,1475,831
5284,5284,img006616.jpg,1920,1200,1,865,374,1412,1051
9654,9654,img012069.jpg,1920,1200,1,771,526,936,791
11633,11633,img014538.jpg,1920,1200,1,280,-61,1214,917
3773,3773,img004732.jpg,1920,1200,1,782,409,937,839
8278,8278,img010373.jpg,1920,1200,1,597,350,1149,714
10598,10598,img013266.jpg,1920,1200,1,757,621,983,865
1056,1056,img001329.jpg,1920,1200,1,767,307,1192,682
3234,3234,img004062.jpg,1920,1200,1,850,424,1180,767
4453,4453,img005584.jpg,1920,1200,1,950,398,1109,693
3602,3602,img004507.jpg,1920,1200,1,763,354,1146,655
1513,1513,img001942.jpg,1920,1200,1,703,472,1122,937
7612,7612,img009566.jpg,1920,1200,1,834,606,1220,883
4800,4800,img006030.jpg,1920,1200,1,538,155,1319,882
545,545,img000690.jpg,1920,1200,1,626,404,1353,834
11541,11541,img014430.jpg,1920,1200,1,983,440,1065,599
2778,2778,img003497.jpg,1920,1200,1,973,561,1093,634
5949,5949,img007440.jpg,1920,1200,1,792,281,975,512
7887,7887,img009891.jpg,1920,1200,1,722,425,973,736
10131,10131,img012685.jpg,1920,1200,1,932,604,1112,789
8394,8394,img010510.jpg,1920,1200,1,1001,504,1520,974
5875,5875,img007350.jpg,1920,1200,1,899,447,1076,594
8062,8062,img010100.jpg,1920,1200,1,1013,560,1218,683
10769,10769,img013486.jpg,1920,1200,1,762,462,967,593
6065,6065,img007579.jpg,1920,1200,1,891,449,1485,778
8721,8721,img010928.jpg,1920,1200,1,894,354,1273,912
6845,6845,img008561.jpg,1920,1200,1,500,333,1584,1112
8351,8351,img010456.jpg,1920,1200,1,850,215,1065,601
11738,11738,img014673.jpg,1920,1200,1,347,-61,1662,672
7489,7489,img009406.jpg,1920,1200,1,886,216,1268,933
4325,4325,img005423.jpg,1920,1200,1,836,829,1037,959
11712,11712,img014643.jpg,1920,1200,1,803,609,1278,883
109,109,img000141.jpg,1920,1200,1,705,223,1092,584
9522,9522,img011917.jpg,1920,1200,1,488,657,1324,1098
495,495,img000631.jpg,1920,1200,1,845,642,1136,902
840,840,img001056.jpg,1920,1200,1,723,260,1347,698
3160,3160,img003974.jpg,1920,1200,1,699,488,1199,661
9855,9855,img012335.jpg,1920,1200,1,696,137,1107,529
1496,1496,img001915.jpg,1920,1200,1,949,414,1245,1005
7676,7676,img009642.jpg,1920,1200,1,596,319,1185,878
11362,11362,img014208.jpg,1920,1200,1,990,574,1190,750
2595,2595,img003268.jpg,1920,1200,1,833,95,1559,968
10602,10602,img013271.jpg,1920,1200,1,789,481,1183,885
2105,2105,img002653.jpg,1920,1200,1,859,553,981,691
2496,2496,img003148.jpg,1920,1200,1,565,-124,1577,1041
11773,11773,img014722.jpg,1920,1200,1,934,622,1067,702
561,561,img000709.jpg,1920,1200,1,633,30,1324,627
2700,2700,img003404.jpg,1920,1200,1,770,576,1144,872
8010,8010,img010038.jpg,1920,1200,1,868,491,1047,714
9213,9213,img011537.jpg,1920,1200,1,619,81,1120,714
11678,11678,img014600.jpg,1920,1200,1,992,371,1120,670
6073,6073,img007590.jpg,1920,1200,1,815,475,1176,695
10479,10479,img013114.jpg,1920,1200,1,721,478,1067,811
2852,2852,img003583.jpg,1920,1200,1,586,180,1359,972
7387,7387,img009270.jpg,1920,1200,1,991,363,1204,930
3546,3546,img004445.jpg,1920,1200,1,740,324,1420,827
6687,6687,img008366.jpg,1920,1200,1,575,284,1245,844
10729,10729,img013436.jpg,1920,1200,1,824,566,1061,800
7599,7599,img009552.jpg,1920,1200,1,804,399,1297,687
10507,10507,img013148.jpg,1920,1200,1,962,638,1129,783
9661,9661,img012079.jpg,1920,1200,1,710,455,1203,791
5463,5463,img006834.jpg,1920,1200,1,764,294,1212,774
11759,11759,img014701.jpg,1920,1200,1,450,-131,1503,825
8021,8021,img010052.jpg,1920,1200,1,742,595,1106,984
4154,4154,img005213.jpg,1920,1200,1,866,148,1083,473
10522,10522,img013168.jpg,1920,1200,1,772,112,1287,1410
10333,10333,img012931.jpg,1920,1200,1,394,414,1305,930
9102,9102,img011405.jpg,1920,1200,1,1030,391,1172,542
7486,7486,img009403.jpg,1920,1200,1,782,624,1004,736
1620,1620,img002075.jpg,1920,1200,1,828,498,1096,623
6016,6016,img007517.jpg,1920,1200,1,920,562,1164,778
10998,10998,img013772.jpg,1920,1200,1,899,580,1167,832
310,310,img000400.jpg,1920,1200,1,896,376,1068,559
10378,10378,img012990.jpg,1920,1200,1,555,-337,1579,883
11414,11414,img014265.jpg,1920,1200,1,848,528,987,714
11725,11725,img014656.jpg,1920,1200,1,829,415,1089,783
11770,11770,img014714.jpg,1920,1200,1,654,231,1335,531
1351,1351,img001722.jpg,1920,1200,1,587,316,1172,866
8108,8108,img010156.jpg,1920,1200,1,295,352,1312,1227
2020,2020,img002552.jpg,1920,1200,1,933,525,1071,641
3037,3037,img003816.jpg,1920,1200,1,498,534,1327,1038
11124,11124,img013919.jpg,1920,1200,1,586,253,1085,661
8046,8046,img010081.jpg,1920,1200,1,481,668,1361,957
19,19,img000023.jpg,1920,1200,1,372,-151,1299,565
11121,11121,img013915.jpg,1920,1200,1,849,460,1307,863
8263,8263,img010352.jpg,1920,1200,1,783,441,1033,793
95,95,img000121.jpg,1920,1200,1,675,413,1275,852
11198,11198,img014008.jpg,1920,1200,1,574,187,1333,894
4423,4423,img005548.jpg,1920,1200,1,926,440,1193,690
6870,6870,img008595.jpg,1920,1200,1,749,233,1069,517
9977,9977,img012495.jpg,1920,1200,1,851,466,1089,672
5977,5977,img007474.jpg,1920,1200,1,863,419,1126,627
5781,5781,img007233.jpg,1920,1200,1,733,519,884,659
4153,4153,img005212.jpg,1920,1200,1,695,83,1325,1057
1226,1226,img001557.jpg,1920,1200,1,437,541,1462,976
6051,6051,img007561.jpg,1920,1200,1,312,568,1200,1176
7328,7328,img009186.jpg,1920,1200,1,802,424,897,667
8693,8693,img010891.jpg,1920,1200,1,995,648,1356,834
9749,9749,img012198.jpg,1920,1200,1,680,350,835,542
2075,2075,img002615.jpg,1920,1200,1,867,672,1061,780
4393,4393,img005506.jpg,1920,1200,1,757,412,1162,701
11488,11488,img014363.jpg,1920,1200,1,1013,339,1377,781
9442,9442,img011822.jpg,1920,1200,1,869,652,1155,761
9699,9699,img012136.jpg,1920,1200,1,405,44,1414,860
5212,5212,img006528.jpg,1920,1200,1,899,610,993,755
9813,9813,img012282.jpg,1920,1200,1,878,524,1094,634
8548,8548,img010708.jpg,1920,1200,1,759,366,1177,791
337,337,img000433.jpg,1920,1200,1,835,450,1337,890
5391,5391,img006741.jpg,1920,1200,1,294,301,1351,804
505,505,img000644.jpg,1920,1200,1,864,517,974,625
2798,2798,img003521.jpg,1920,1200,1,814,388,990,656
4857,4857,img006103.jpg,1920,1200,1,689,457,1162,798
11060,11060,img013846.jpg,1920,1200,1,827,494,1067,755
10579,10579,img013245.jpg,1920,1200,1,868,338,1170,608
3643,3643,img004557.jpg,1920,1200,1,779,389,1153,799
1452,1452,img001861.jpg,1920,1200,1,793,301,1144,764
186,186,img000243.jpg,1920,1200,1,620,517,1007,741
11917,11917,img014900.jpg,1920,1200,1,886,444,1089,567
11551,11551,img014443.jpg,1920,1200,1,725,491,993,738
9750,9750,img012199.jpg,1920,1200,1,727,555,1097,891
3389,3389,img004249.jpg,1920,1200,1,980,368,1097,611
8532,8532,img010688.jpg,1920,1200,1,933,528,986,669
10974,10974,img013746.jpg,1920,1200,1,877,432,1006,568
8504,8504,img010655.jpg,1920,1200,1,972,626,1281,753
4776,4776,img006000.jpg,1920,1200,1,739,465,1157,857
4442,4442,img005570.jpg,1920,1200,1,861,599,999,759
4741,4741,img005952.jpg,1920,1200,1,975,491,1127,702
2106,2106,img002655.jpg,1920,1200,1,656,352,1439,913
2442,2442,img003074.jpg,1920,1200,1,775,557,887,660
3543,3543,img004442.jpg,1920,1200,1,804,241,1080,659
7127,7127,img008922.jpg,1920,1200,1,805,642,1151,944
521,521,img000661.jpg,1920,1200,1,798,378,1106,625
7051,7051,img008820.jpg,1920,1200,1,995,543,1173,688
3321,3321,img004167.jpg,1920,1200,1,651,456,1077,878
6616,6616,img008279.jpg,1920,1200,1,850,466,1129,832
4085,4085,img005130.jpg,1920,1200,1,719,710,923,806
4083,4083,img005127.jpg,1920,1200,1,768,474,1348,717
279,279,img000362.jpg,1920,1200,1,832,237,1163,591
5620,5620,img007024.jpg,1920,1200,1,708,580,1180,1007
11665,11665,img014580.jpg,1920,1200,1,834,259,1252,781
384,384,img000500.jpg,1920,1200,1,811,391,922,493
496,496,img000632.jpg,1920,1200,1,602,321,1286,871
2565,2565,img003230.jpg,1920,1200,1,898,620,1098,753
4462,4462,img005595.jpg,1920,1200,1,855,390,1137,719
